fecha,zona_prov,w_mean
2009-05-01,SALTA,2174
2009-05-01,SAN JUAN,2242
2009-05-01,SAN LUIS,2570
2009-05-01,SANTA CRUZ,5046
2009-05-01,SANTA FE,2552
2009-05-01,SANTIAGO DEL ESTERO,1922
2009-05-01,TIERRA DEL FUEGO,4334
2009-05-01,TUCUMAN,1947
2009-06-01,BUENOS AIRES,3864
2009-06-01,CAPITAL FEDERAL,4447
2009-06-01,CATAMARCA,3249
2009-06-01,CHACO,2752
2009-06-01,CHUBUT,5835
2009-06-01,CORDOBA,3380
2009-06-01,CORRIENTES,2946
2009-06-01,ENTRE RIOS,3076
2009-06-01,FORMOSA,2861
2009-06-01,JUJUY,3308
2009-06-01,LA PAMPA,3339
2009-06-01,LA RIOJA,3011
2009-06-01,MENDOZA,3237
2009-06-01,MISIONES,2758
2009-06-01,NEUQUEN,5572
2009-06-01,RIO NEGRO,3545
2009-06-01,SALTA,3031
2009-06-01,SAN JUAN,3115
2009-06-01,SAN LUIS,3643
2009-06-01,SANTA CRUZ,6823
2009-06-01,SANTA FE,3593
2009-06-01,SANTIAGO DEL ESTERO,2715
2009-06-01,TIERRA DEL FUEGO,5908
2009-06-01,TUCUMAN,2616
2009-07-01,BUENOS AIRES,2841
2009-07-01,CAPITAL FEDERAL,3309
2009-07-01,CATAMARCA,2455
2009-07-01,CHACO,2045
2009-07-01,CHUBUT,4507
2009-07-01,CORDOBA,2477
2009-07-01,CORRIENTES,2130
2009-07-01,ENTRE RIOS,2272
2009-07-01,FORMOSA,2131
2009-07-01,JUJUY,2456
2009-07-01,LA PAMPA,2410
2009-07-01,LA RIOJA,2252
2009-07-01,MENDOZA,2427
2009-07-01,MISIONES,2068
2009-07-01,NEUQUEN,4308
2009-07-01,RIO NEGRO,2728
2009-07-01,SALTA,2276
2009-07-01,SAN JUAN,2323
2009-07-01,SAN LUIS,2726
2009-07-01,SANTA CRUZ,5361
2009-07-01,SANTA FE,2655
2009-07-01,SANTIAGO DEL ESTERO,2025
2009-07-01,TIERRA DEL FUEGO,4355
2009-07-01,TUCUMAN,2017
2009-08-01,BUENOS AIRES,2900
2009-08-01,CAPITAL FEDERAL,3345
2009-08-01,CATAMARCA,2428
2009-08-01,CHACO,2079
2009-08-01,CHUBUT,4521
2009-08-01,CORDOBA,2507
2009-08-01,CORRIENTES,2160
2009-08-01,ENTRE RIOS,2296
2009-08-01,FORMOSA,2168
2009-08-01,JUJUY,2452
